
Goal 1, used step = 30887
Goal 2, used step = 2751
Goal 3, used step = 680
Goal 4, used step = 60
Goal 5, used step = 126
Goal 6, used step = 263
Goal 7, used step = 464
Goal 8, used step = 60
Goal 9, used step = 68
Goal 10, used step = 44
Goal 11, used step = 20
Goal 12, used step = 25
Goal 13, used step = 18
Goal 14, used step = 50
Goal 15, used step = 16
Goal 16, used step = 34
Goal 17, used step = 22
Goal 18, used step = 27
Goal 19, used step = 28
Goal 20, used step = 15
Goal 21, used step = 37
Goal 22, used step = 15
Goal 23, used step = 18
Goal 24, used step = 25
Goal 25, used step = 31
Goal 26, used step = 16
Goal 27, used step = 30
Goal 28, used step = 17
Goal 29, used step = 20
Goal 30, used step = 58
Goal 31, used step = 16
Goal 32, used step = 82
Goal 33, used step = 18
Goal 34, used step = 17
Goal 35, used step = 29
Goal 36, used step = 48
Goal 37, used step = 58
Goal 38, used step = 25
Goal 39, used step = 17
Goal 40, used step = 25
Goal 41, used step = 21
Goal 42, used step = 30
Goal 43, used step = 14
Goal 44, used step = 14
Goal 45, used step = 14
Goal 46, used step = 14
Goal 47, used step = 14
Goal 48, used step = 14
state   0 (  0,  0) =   0.000000    0.000000    0.000000    0.000000
state   1 (  0,  1) =   0.000000    0.000000    0.000000    0.000000
state   2 (  0,  2) =   0.000000    0.000000    0.000000    0.000000
state   3 (  0,  3) =   0.000000    0.000000    0.000000    0.000000
state   4 (  0,  4) =   0.000000    0.000000    0.000000    0.000000
state   5 (  0,  5) =   0.000000    0.000000    0.000000    0.000000
state   6 (  0,  6) =   0.000000    0.000000    0.000000    0.000000
state   7 (  0,  7) =   0.000000    0.000000    0.000000    0.000000
state   8 (  0,  8) =   0.000000    0.000000    0.000000    0.000000
state   9 (  0,  9) =   0.000000    0.000000    0.000000    0.000000
state  10 (  1,  0) =   0.000000    0.000000    0.000000    0.000000
state  11 (  1,  1) = -100.000000    2.627342  -100.000000    2.627342
state  12 (  1,  2) = -100.000000    2.712236    2.576405    2.712236
state  13 (  1,  3) = -100.000000    2.853727    2.627342    2.853727
state  14 (  1,  4) = -100.000000    3.089545    2.500000    2.500000
state  15 (  1,  5) = -100.000000  -100.000000    2.500000    2.500000
state  16 (  1,  6) = -100.000000    2.500000    2.500000    2.500000
state  17 (  1,  7) = -100.000000    2.500000    2.500000    2.500000
state  18 (  1,  8) = -100.000000    2.500000    2.500000    2.500000
state  19 (  1,  9) =   0.000000    0.000000    0.000000    0.000000
state  20 (  2,  0) =   0.000000    0.000000    0.000000    0.000000
state  21 (  2,  1) =   2.576405    2.500000  -100.000000    2.712236
state  22 (  2,  2) =   2.627342    2.853727    2.500000    2.853727
state  23 (  2,  3) =   2.712236    3.089545    2.712236    3.089545
state  24 (  2,  4) =   2.500000    3.482575    2.853727  -100.000000
state  25 (  2,  5) =   0.000000    0.000000    0.000000    0.000000
state  26 (  2,  6) =   2.500000  -100.000000  -100.000000    2.500000
state  27 (  2,  7) =   2.500000    7.048960    2.500000    2.500000
state  28 (  2,  8) =   2.500000    2.500000    2.500000    2.500000
state  29 (  2,  9) =   0.000000    0.000000    0.000000    0.000000
state  30 (  3,  0) =   0.000000    0.000000    0.000000    0.000000
state  31 (  3,  1) =   2.627342    2.500000  -100.000000    2.500000
state  32 (  3,  2) =   2.712236    2.500000    2.500000    3.089545
state  33 (  3,  3) =   2.853727    2.853727    2.853727    3.482575
state  34 (  3,  4) =   3.089545    3.089545    3.089545    4.137626
state  35 (  3,  5) = -100.000000    5.229376    3.482575  -100.000000
state  36 (  3,  6) =   0.000000    0.000000    0.000000    0.000000
state  37 (  3,  7) =   2.500000   10.081600  -100.000000    2.500000
state  38 (  3,  8) =   2.500000    2.500000    7.048960    2.500000
state  39 (  3,  9) =   0.000000    0.000000    0.000000    0.000000
state  40 (  4,  0) =   0.000000    0.000000    0.000000    0.000000
state  41 (  4,  1) =   2.500000    2.500000  -100.000000    2.500000
state  42 (  4,  2) =   2.500000    2.500000    2.500000    2.853727
state  43 (  4,  3) =   3.089545  -100.000000    2.500000    2.500000
state  44 (  4,  4) =   3.482575  -100.000000    2.500000    2.500000
state  45 (  4,  5) =   4.137626  -100.000000    2.500000    7.048960
state  46 (  4,  6) = -100.000000  -100.000000    5.229376   10.081600
state  47 (  4,  7) =   7.048960  -100.000000    7.048960   15.136000
state  48 (  4,  8) =   5.229376   23.560000   10.081600   15.136000
state  49 (  4,  9) =   0.000000    0.000000    0.000000    0.000000
state  50 (  5,  0) =   0.000000    0.000000    0.000000    0.000000
state  51 (  5,  1) =   2.500000    2.500000  -100.000000    2.500000
state  52 (  5,  2) =   2.500000    2.500000    2.500000  -100.000000
state  53 (  5,  3) =   0.000000    0.000000    0.000000    0.000000
state  54 (  5,  4) =   0.000000    0.000000    0.000000    0.000000
state  55 (  5,  5) =   0.000000    0.000000    0.000000    0.000000
state  56 (  5,  6) =   0.000000    0.000000    0.000000    0.000000
state  57 (  5,  7) =   0.000000    0.000000    0.000000    0.000000
state  58 (  5,  8) =  15.136000   37.600000  -100.000000   23.560000
state  59 (  5,  9) =   0.000000    0.000000    0.000000    0.000000
state  60 (  6,  0) =   0.000000    0.000000    0.000000    0.000000
state  61 (  6,  1) =   2.500000    2.500000  -100.000000    2.500000
state  62 (  6,  2) =   2.500000  -100.000000    2.500000    2.500000
state  63 (  6,  3) = -100.000000    1.000000    2.500000    1.000000
state  64 (  6,  4) = -100.000000  -100.000000    0.000000    0.000000
state  65 (  6,  5) =   0.000000    0.000000    0.000000    0.000000
state  66 (  6,  6) = -100.000000    0.000000    0.000000    0.000000
state  67 (  6,  7) = -100.000000    1.000000    1.000000   37.600000
state  68 (  6,  8) =  23.560000   61.000000   23.560000   37.600000
state  69 (  6,  9) =   0.000000    0.000000    0.000000    0.000000
state  70 (  7,  0) =   0.000000    0.000000    0.000000    0.000000
state  71 (  7,  1) =   2.500000    2.474806  -100.000000  -100.000000
state  72 (  7,  2) =   0.000000    0.000000    0.000000    0.000000
state  73 (  7,  3) =   1.600000    0.000000    0.000000    0.000000
state  74 (  7,  4) =   0.000000    0.000000    0.000000    0.000000
state  75 (  7,  5) =   0.000000    0.000000    0.000000    0.000000
state  76 (  7,  6) =   0.000000    0.000000    0.000000    0.000000
state  77 (  7,  7) =   1.600000    1.000000  -100.000000   61.000000
state  78 (  7,  8) =  37.600000  100.000000   37.600000   61.000000
state  79 (  7,  9) =   0.000000    0.000000    0.000000    0.000000
state  80 (  8,  0) =   0.000000    0.000000    0.000000    0.000000
state  81 (  8,  1) =   2.458010  -100.000000    0.000000    0.000000
state  82 (  8,  2) =   0.000000    0.000000    0.000000    0.000000
state  83 (  8,  3) =   0.000000    0.000000    0.000000    0.000000
state  84 (  8,  4) =   0.000000    0.000000    0.000000    0.000000
state  85 (  8,  5) =   0.000000    0.000000    0.000000    0.000000
state  86 (  8,  6) =   0.000000    0.000000    0.000000    0.000000
state  87 (  8,  7) =   1.960000    0.000000    0.000000    0.000000
state  88 (  8,  8) =   0.000000    0.000000    0.000000    0.000000
state  89 (  8,  9) =   0.000000    0.000000    0.000000    0.000000
state  90 (  9,  0) =   0.000000    0.000000    0.000000    0.000000
state  91 (  9,  1) =   0.000000    0.000000    0.000000    0.000000
state  92 (  9,  2) =   0.000000    0.000000    0.000000    0.000000
state  93 (  9,  3) =   0.000000    0.000000    0.000000    0.000000
state  94 (  9,  4) =   0.000000    0.000000    0.000000    0.000000
state  95 (  9,  5) =   0.000000    0.000000    0.000000    0.000000
state  96 (  9,  6) =   0.000000    0.000000    0.000000    0.000000
state  97 (  9,  7) =   0.000000    0.000000    0.000000    0.000000
state  98 (  9,  8) =   0.000000    0.000000    0.000000    0.000000
state  99 (  9,  9) =   0.000000    0.000000    0.000000    0.000000
